Channel_Games,Viewers,Channels
Max Payne,3618,4
Medal of Honor Warfighter,1754,1
Mega Man,2682,5
Mega Man 2,115,7
Mega Man 3,2817,1
Mega Man 7,1234,1
Mega Man 9,2496,2
Mega Man X,847,3
Mega Man X3,2783,1
Mega Man X4,1175,2
Mega Man Zero 3,2739,1
Metal Gear Ghost Babel,756,1
Metal Gear Solid,11,3
Metal Gear Solid 2 Sons of Liberty,1621,2
Metal Gear Solid 3 Snake Eater,499,2
Metal Gear Solid 3 Subsistence,1380,2
Metal Gear Solid 4 Guns of the Patriots,943,2
Metal Gear Solid Peace Walker,273,2
Metal Gear Solid The Twin Snakes,1204,1
Metal Gear Solid V Ground Zeroes,2642,1
Metal Gear Solid V The Phantom Pain,2728,17
Metal Slug 3,758,1
Metin 2,937,26
Metro 2033,980,7
Metro Last Light,642,7
Metroid Prime,770,1
Microsoft Flight Simulator X,914,33
Minecraft,7949,523
Miner Ultra Adventures,699,3
Minesweeper,1222,2
Mini Battlegrounds,1549,1
Mini Metro,178,1
Minit,2644,3
Miscreated,3501,5
Mister Rogers Neighborhood,681,1
MLB The Show 18,473,8
Modern Warfare 2,902,15
Monopoly Plus,1560,3
Monster Hunter World,2330,173
Monster Rancher 3,2412,2
Mother Simulator,7533,3
Mount  Blade Warband,2407,6
Mount Your Friends,1863,1
Mount Your Friends 3D A Hard ,5919,2
Move or Die,3400,1
MUGEN,432,2
Mugen Souls,1988,1
Music,3956,229
MX vs ATV All Out,687,9
My Summer Car,621,4
Mystery Fun House,942,4
Narcosis,222,1
Naruto Shippuden Ultimate Ninja Storm 2,2114,1
Naruto Shippuden Ultimate Ninja ,747,1
Naruto Shippuden Ultimate Ninja Storm 4,833,9
Naruto Ultimate Ninja Storm,1524,1
NBA 2K18,16214,159
Need for Speed Payback,3461,20
Need for Speed Underground 2,1665,4
NetHack,560,2
Ni no Kuni II Revenant Kingdom,1707,81
Nickelodeon GUTS,526,1
Nidhogg,1888,1
NieR Automata,441,10
Ninja Gaiden,869,1
Nioh,2209,16
Northgard,155,9
Octahedron,4991,2
OlliOlli,1370,1
OMSI 2,891,1
One Hour One Life,790,7
OneShot,155,2
Open Transport Tycoon Deluxe,2705,1
Ori and the Blind Forest,418,3
Orwell,1840,3
osu,2313,246
Outlast,7503,35
Outlast 2,2654,18
Overcooked,199,3
OverWatch,20920,1613
Owlboy,1127,3
Oxygen Not Included,2224,16
Paladins,141,132
Paper Mario,404,2
Papers Please,929,3
Passpartout The Starving Artist,1492,3
Path of Exile,8665,264
Pathfinder Kingmaker,10742,1
PC Building Simulator,2935,38
Pencil Sharpening Simulator,28,2
Persona 5,898,32
Phantasy Star Online 2,520,4
Pinball FX3,683,1
Pineview Drive,545,1
PixArk,2770,78
Pizza Connection 3,1115,3
Planet Coaster,729,13
Plants vs Zombies 2 Its About Time,836,1
PLAYERUNKNOWNS BATTLEGROUNDS,83827,3576
PlayerUnknowns Battlegrounds Mobile,9275,12
Point Blank,886,3
Pokemon Art Academy,2127,1
Pokemon BlackWhite Version 2,922,3
Pokemon Channel,112,2
Pokemon Conquest,2912,1
Pokemon FireRedLeafGreen,194,9
Pokemon HeartGoldSoulSilver,457,3
Pokemon Platinum,2968,2
Pokemon RedBlue,430,6
Pokemon Stadium,784,3
Pokemon Trozei,2814,1
Pokemon Ultra SunUltra Moon,993,38
Pokemon XY,731,1
PokePark 2 Wonders Beyond,1121,1
Poker,8949,72
Police Quest 3 The Kindred,1534,1
Poly Bridge,1774,8
Pool Nation,7366,3
Portal 2,1316,17
Postal 2,612,4
Potato Thriller,506,1
Prey,430,2
Prince of Persia,3111,3
Princess Maker 2,1210,1
Prison Architect,13,4
Pro Evolution Soccer 2017,3216,17
Project Zomboid,966,4
PunchOut,1394,1
Puyo Puyo Tetris,1127,7
Puzzle  Dragons,926,5
Quake Champions,1133,24
Quake II,2779,6
Quiplash,165,6
Ragnarok Online,964,26
Rango The Video Game,621,1
Ratz Instagib,3284,1
RBI Baseball 18,119,2
Reality,3604,4
Realm of Valor,667,1
Rec Room,3408,6
Red Dead Redemption,334,4
Remothered Tormented Fathers,2257,1
Resident Evil 2,457,4
Resident Evil 3 Nemesis,2449,7
Resident Evil 4,1684,22
Resident Evil 6,749,13
Resident Evil 7 biohazard,437,13
Resident Evil HD Remaster,738,4
Resident Evil Zero,680,2
Retro,2225,105
Rhythm Heaven Fever,3224,1
Rick and Morty Virtual Rickality,1480,1
RimWorld,655,25
Ring Of Elysium,555,11
Rise of Insanity,141,1
Rise of the Tomb Raider,994,12
Rising Storm 2 Vietnam,1939,2
Rivals of Aether,2508,7
ROBLOX,921,74
Rock Band 4,562,20
Rocket League,5664,395
Rogue Legacy,2118,3
RollerCoaster Tycoon,546,1
RollerCoaster Tycoon 3,545,1
Roulette,1787,1
Rumble Fighter,786,1
RuneScape,6739,171
Rust,4154,189
Saint Seiya Soldiers Soul,882,1
Salt and Sanctuary,2143,6
SCP Containment Breach,864,2
SCP Secret Laboratory,39372,15
Scrap Mechanic,904,3
Sea of Thieves,8813,626
Secret of Mana,497,4
SEGA Bass Fishing,2175,1
Seven Knights,539,1
Shadow of the Colossus,174,7
Shadow Tactics Blades of the Shogun,383,2
Shadowgun Legends,698,2
Shadows 2 Perfidia,745,1
Shadowverse,947,35
Shantae Riskys Revenge,650,1
Shelter 2,2288,1
Shogun Total War,1795,1
Shovel Knight,558,3
Shroud of the Avatar Forsaken Virtues,836,9
Sid Meiers Civilization IV,2130,6
Sid Meiers Civilization V,1362,27
Sid Meiers Civilization VI,727,5
Sid Meiers Civilization VI Rise  Fall,1640,5
Silent Hill,671,2
Silent Hill 2,677,1
Silent Hill 3,4194,3
SimCity,1272,2
Siren,809,1
SixGun Shootout Gunfights of the Wild West,730,1
Skate 3,331,1
skribblio,1132,2
Slaves to Armok II Dwarf Fortress,1340,3
Slay the Spire,1558,41
